article_name,article_quality,country,revision_id,population
Bir I of Kanem,Stub,Chad,355319463,15.4
Template:Zimbabwe-politician-stub,Stub,Zimbabwe,391862046,14
Template:Uganda-politician-stub,Stub,Uganda,391862070,44.1
Template:Namibia-politician-stub,Stub,Namibia,391862409,2.5
Template:Nigeria-politician-stub,Stub,Nigeria,391862819,195.9
Template:Colombia-politician-stub,Stub,Colombia,391863340,49.8
Template:Chile-politician-stub,Stub,Chile,391863361,18.6
Template:Fiji-politician-stub,Stub,Fiji,391863617,0.9
Template:Solomons-politician-stub,Stub,Solomon Islands,391863809,0.7
Template:Somalia-politician-stub,Stub,Somalia,393298432,15.2
Yos Por,Stub,Cambodia,393822005,16
Template:Slovakia-politician-stub,Stub,Slovakia,394482629,5.4
Template:Slovenia-politician-stub,Stub,Slovenia,394482891,2.1
Template:Afghanistan-politician-stub,Stub,Afghanistan,394580295,36.5
Template:Iraq-politician-stub,Stub,Iraq,394580630,40.2
Template:Nepal-politician-stub,Stub,Nepal,394580939,29.7
Template:SriLanka-politician-stub,Stub,Sri Lanka,394580993,21.7
Template:Laos-politician-stub,Stub,Laos,394581284,7
Template:Albania-politician-stub,Stub,Albania,394581557,2.9
Template:CostaRica-politician-stub,Stub,Costa Rica,394587483,5
Robert Douglas Cook,Stub,Canada,401577829,37.2
Template:Tunisia-politician-stub,Stub,Tunisia,413885084,11.6
Template:Guatemala-politician-stub,Stub,Guatemala,433871129,17.2
Template:BurkinaFaso-politician-stub,Stub,Burkina Faso,433871165,20.3
Template:Angola-politician-stub,Stub,Angola,435008715,30.4
Template:Panama-politician-stub,Stub,Panama,437454659,4.2
Template:Japan-politician-1980s-stub,Stub,Japan,437735138,126.5
Template:Indonesia-politician-stub,Stub,Indonesia,438305657,265.2
Template:Madagascar-politician-stub,Stub,Madagascar,439671509,26.3
Template:Malaysia-politician-stub,Stub,Malaysia,439708117,32.5
Template:Gabon-politician-stub,Stub,Gabon,440397578,2.1
Template:Germany-DDP-politician-stub,Stub,Germany,440594068,82.8
Template:Germany-Centre-politician-stub,Stub,Germany,440598656,82.8
Template:Liberia-politician-stub,Stub,Liberia,441172886,4.9
Template:Ghana-politician-stub,Stub,Ghana,441186581,29.5
Template:Peru-politician-stub,Stub,Peru,441771813,32.2
Template:Argentina-politician-stub,Stub,Argentina,441995465,44.5
Template:Catalonia-politician-stub,Stub,Spain,442411422,46.7
Template:SouthAfrica-politician-stub,Stub,South Africa,442913438,57.7
List of Grand Viziers of Egypt,Stub,Egypt,442937236,97
Template:CostaRica-mayor-stub,Stub,Costa Rica,443468553,5
Template:Nicaragua-mayor-stub,Stub,Nicaragua,443470532,6.3
Template:Afghanistan-mayor-stub,Stub,Afghanistan,443496992,36.5
Template:Bangladesh-mayor-stub,Stub,Bangladesh,443497423,166.4
Template:Cambodia-mayor-stub,Stub,Cambodia,443497605,16
Template:India-mayor-stub,Stub,India,443498496,"1,371.3"
Template:Iran-mayor-stub,Stub,Iran,443499145,81.6
Template:Iraq-mayor-stub,Stub,Iraq,443499367,40.2
Template:Argentina-mayor-stub,Stub,Argentina,443521996,44.5
Template:Philippines-mayor-stub,Stub,Philippines,443628777,107
Template:SriLanka-mayor-stub,Stub,Sri Lanka,443632023,21.7
Template:Turkey-mayor-stub,Stub,Turkey,443633073,81.3
Template:Albania-mayor-stub,Stub,Albania,443634517,2.9
Template:Austria-mayor-stub,Stub,Austria,443640939,8.8
Template:Azerbaijan-mayor-stub,Stub,Azerbaijan,443641865,9.9
Template:Haiti-politician-stub,Stub,Haiti,444002354,10.8
Template:Greece-mayor-stub,Stub,Greece,444023126,10.6
Template:Hungary-mayor-stub,Stub,Hungary,444023605,9.8
Template:Iceland-mayor-stub,Stub,Iceland,444023818,0.4
Template:Moldova-mayor-stub,Stub,Moldova,444031013,3.5
Template:Romania-mayor-stub,Stub,Romania,444036980,19.5
Template:Poland-mayor-stub,Stub,Poland,444373997,38.4
Template:Luxembourg-politician-stub,Stub,Luxembourg,444377000,0.6
Template:Luxembourg-mayor-stub,Stub,Luxembourg,444381930,0.6
Template:Denmark-mayor-stub,Stub,Denmark,444431830,5.8
Template:Namibia-mayor-stub,Stub,Namibia,444756008,2.5
Template:SouthAfrica-mayor-stub,Stub,South Africa,444756369,57.7
Template:BurkinaFaso-mayor-stub,Stub,Burkina Faso,444759010,20.3
Template:Gabon-mayor-stub,Stub,Gabon,444762949,2.1
Template:Kenya-mayor-stub,Stub,Kenya,444766243,51
Template:Liberia-mayor-stub,Stub,Liberia,444766443,4.9
Template:Somalia-mayor-stub,Stub,Somalia,444767261,15.2
Template:Tunisia-mayor-stub,Stub,Tunisia,444767517,11.6
Template:Uganda-mayor-stub,Stub,Uganda,444767727,44.1
Template:Zimbabwe-mayor-stub,Stub,Zimbabwe,444767985,14
Template:Ecuador-mayor-stub,Stub,Ecuador,445199467,17
Template:Ecuador-politician-stub,Stub,Ecuador,445225417,17
Template:Cambodia-politician-stub,Stub,Cambodia,445365862,16
Template:Finland-mayor-stub,Stub,Finland,445676138,5.5
Template:Portugal-mayor-stub,Stub,Portugal,446008048,10.3
Template:Switzerland-mayor-stub,Stub,Switzerland,446011535,8.5
Template:Sweden-mayor-stub,Stub,Sweden,446019004,10.2
Template:Belgium-mayor-stub,Stub,Belgium,446192353,11.4
Template:Spain-mayor-stub,Stub,Spain,446194245,46.7
Template:Italy-mayor-stub,Stub,Italy,446196171,60.6
Template:Mexico-mayor-stub,Stub,Mexico,446200358,130.8
Template:Chile-mayor-stub,Stub,Chile,446202781,18.6
Template:Peru-mayor-stub,Stub,Peru,446205420,32.2
Template:Bolivia-mayor-stub,Stub,Bolivia,446207794,11.3
Template:Colombia-mayor-stub,Stub,Colombia,446214240,49.8
Template:Bulgaria-mayor-stub,Stub,Bulgaria,446219671,7
Template:Serbia-mayor-stub,Stub,Serbia,446221243,7
Template:Russia-mayor-stub,Stub,Russia,446222994,147.3
Template:Tanzania-mayor-stub,Stub,Tanzania,446465586,59.1
Template:Tanzania-politician-stub,Stub,Tanzania,446468308,59.1
Template:SierraLeone-politician-stub,Stub,Sierra Leone,447694868,7.7
Template:SierraLeone-mayor-stub,Stub,Sierra Leone,447696094,7.7
Sehba Musharraf,Stub,Pakistan,448555418,200.6
Template:Nunavut-politician-stub,Stub,Canada,450168181,37.2
Template:Croatia-mayor-stub,Stub,Croatia,455747046,4.1
Template:Madagascar-mayor-stub,Stub,Madagascar,455961992,26.3
Template:Ukraine-mayor-stub,Stub,Ukraine,456370038,42.3
Template:SouthSudan-politician-stub,Stub,South Sudan,468942507,13
Butler-Belmont family,Start,United States,470173494,328
Template:Yemen-politician-stub,Stub,Yemen,470905661,28.9
Template:PRChina-mayor-stub,Stub,China,471851224,"1,393.8"
List of Canadian incumbents by year,Stub,Canada,477962574,37.2
Template:Bolivia-politician-stub,Stub,Bolivia,481837976,11.3
Template:NewZealand-politician-stub,Stub,New Zealand,488705675,4.9
Sheikh Sadiq Ali Ansari,Stub,India,492060822,"1,371.3"
Cayetano Pacana,Stub,Philippines,492964343,107
Template:Germany-BVP-politician-stub,Stub,Germany,495124898,82.8
